3256212126, 2018-10-02T17:46:12.000Z, 5, 0, 0, 2.3.2, Herlig, Det er nemt, 1neets
3115704904, 2018-08-26T08:35:51.000Z, 5, 0, 0, 2.2.3, Virker dejlig overskuelig, Appen er nem atbruge og alt er til at finde, Ditlel
3100454248, 2018-08-22T19:39:31.000Z, 1, 0, 0, 2.2.3, Ulogisk, Det er sjældent man i første eller andet forsøg kommer til det man vil., steffenxxxx
3099993161, 2018-08-22T16:50:12.000Z, 1, 0, 0, 2.2.3, Nie podoba mi się bo nie chce jej mieć lecz muszę !!!, Nie podoba mi się ale póki co chcąc tu mieszkać muszę mieć konto bankowe a takiego wcale nie chce posiadać jestem zwolennikiem obrotu gotówka bo przy moich wydatkach uczestniczę tylko ja a nie inwigilują mnie banki lub korporacje wiec proszę mi więcej tak głupich pytań nie wysyłać bo w tym kraju NIE MA WYBORU !, Pan Adam
3090102114, 2018-08-20T10:19:56.000Z, 5, 0, 0, 2.2.3, Tip top, Nemthurtigt og sikkert :-), Ropass
3072544009, 2018-08-16T12:50:41.000Z, 1, 0, 0, 2.2.3, Mangler overskuelighed, App’en er ikke overskuelig nok og “lækker” og let som fx Danske Banks., Helle Hedegaard
3071146345, 2018-08-16T06:47:56.000Z, 3, 0, 0, 2.2.3, Søgninger, Mangler at kunne søge i mine poster, søgninger mangler
3059645370, 2018-08-13T17:32:22.000Z, 4, 0, 0, 2.2.3, Language, App ia ok but where i can change language to english?, Goldi82nd
3058623415, 2018-08-13T12:37:37.000Z, 1, 0, 0, 2.2.3, Virker næsten aldrig., Er meget skuffet. Der er ofte fejl i appen., dannidany
3055491054, 2018-08-12T20:01:26.000Z, 5, 0, 0, 2.2.3, Nemt😀, Med Nordeas mobil har jeg styr på min økonomi😀, Anmedelse
3039314096, 2018-08-09T08:41:09.000Z, 1, 0, 0, 2.2.3, for ringe, Der er for få sorteringsmuligheder og ingen mulighed for en automatisk sortering af kategorier vedrørende betalinger. denne mulighed har mange andre banker, Steenir
3032269434, 2018-08-07T20:33:46.000Z, 1, 0, 0, 2.2.3, Dårlig app, Virkelig ringe app som er meget gammeldags og man mangler forbrugsoverblik som andre banker har. Ønsker af skifte bank pga af det for utroligt at Nordea ikke har fået det endnu., Amsisse
3017303980, 2018-08-04T17:33:42.000Z, 1, 0, 0, 2.2.3, The basic functionality works but I’m def. not impressed!, Basic functionality ok. Anything beyond that is wishful thinking! Would be nice with a more modern setup and functions, thdtb
3015476951, 2018-08-04T09:28:09.000Z, 3, 0, 0, 2.2.3, Mangler udestående beløb, Det en ganske fin app men hvad jeg virkelig mangler er en opdateret måde at se hvor mange penge jeg har. Nogle gange kan der gå 1-3 dage før den opdatere beløbet. I andre bankers app har de det faktiske beløb og nedenunder udestående beløb på denne måde kan man hele tiden føle med i hvad man har og har brugt.  Jeg mangler også en mulighed for at kunne klikke på et betalt beløb og se detaljer, Anders T.L
3011678842, 2018-08-03T14:35:39.000Z, 4, 0, 0, 2.2.3, Næsten perfekt, Mangler at kunne gå ind på posterne og se referencerne, s. hviid
3011111914, 2018-08-03T12:23:16.000Z, 5, 0, 0, 2.2.3, Mobilbank, Det bedste der til dato Er opfundet nu man ik har posthuse og banker til det mere, MJ040670
3006960573, 2018-08-02T16:51:30.000Z, 2, 0, 0, 2.2.3, Gammeldags, Designet er oldfashion og kedeligt., khggyhkko
3005729279, 2018-08-02T11:40:37.000Z, 5, 0, 0, 2.2.3, Mobilbank, Virker perfekt til vores temperament  🧒🏻🧔🏼🌹, Jorn64
2999786872, 2018-08-01T07:16:30.000Z, 5, 0, 0, 2.2.3, Nemt, Brug nærmest kun appen. Det er nemt og hurtig at logge på og bruge, Strandsjov
2992048248, 2018-07-30T13:54:49.000Z, 5, 0, 0, 2.2.3, Mobil bank, Meget nemt at bruge og lige ved hånden, Michael Maref
2988467193, 2018-07-29T19:06:34.000Z, 1, 0, 0, 2.2.3, Besværlig netbank, Har i mange år brugt jyske banks netbank den er SÅ meget nemmere at bruge. Det er enormt besværligt at skulle bruge sit nem ide kort så mange gange i løbet af en aften hvor man sætter regninger til betaling overfører osv., Nadialynge
2986438339, 2018-07-29T08:54:13.000Z, 5, 0, 0, 2.2.3, Mobilbank, Hurtig og nem 👍, mobil betalinger
2985483593, 2018-07-29T04:28:20.000Z, 3, 0, 0, 2.2.3, Fingeraftryk, Kunne være rart at kunne bruge fingeraftryk istedet for nøglekort for at bekræfte betaling :), The3Sin
2983471313, 2018-07-28T17:05:40.000Z, 5, 0, 0, 2.2.3, Rigtig god app, Rigtig god app nem og overskuelig, Adls100
2954085984, 2018-07-23T11:42:17.000Z, 3, 0, 0, 2.2.3, ✌️, Kunne godt tænkte at man kunne omdøbe sine kontis gennem appen., Christoffer Olsen
2938159613, 2018-07-20T07:14:43.000Z, 5, 0, 0, 2.2.3, Nodea, Det er en meget god måde at sendepenge på., Alex SøgaardPetetrsen
2910229869, 2018-07-15T05:57:19.000Z, 5, 0, 0, 2.2.3, Mobilbank, Dejlig nem opfindelse og nu med nøgleapp er det blevet endnu nemmere. Banken er nu altid med uanset hvor du er., kjeld1
2894978742, 2018-07-12T20:51:43.000Z, 3, 0, 0, 2.2.3, Mening, Fordi den er ikke opdaterede ligesom danskbank app., zahurtiii
2878708157, 2018-07-10T14:56:17.000Z, 1, 0, 0, 2.2.3, Betaling af regninger, Det er godt nok besværligt at skulle logge på med fingeraftryk for at komme til en side hvor der skal indtastes start på nem-id. Så kan man indtaste modtager og beløb for at skulle slutte af med nem- id igen. Hvor blev det smarte med fingeraftryk lige af. Man kunne nøjes med nem-id alene. Det virker tåbeligt., 3630JR
2875838070, 2018-07-10T06:59:02.000Z, 5, 0, 0, 2.2.3, Det virker, Utroligt at en bank kan lave noget digitalt der virker., @hummerdrengen
2875046985, 2018-07-10T04:29:56.000Z, 5, 0, 0, 2.2.3, Perfekt, Det fungere bare perfekt nemt og bruge.😊, sødeste Lene
2863503800, 2018-07-08T12:05:00.000Z, 3, 0, 0, 2.2.3, Søge funktion, Der mangler en søge funktion!, Sean Jahangir Aran
2854108839, 2018-07-07T04:58:15.000Z, 1, 0, 0, 2.2.3, No access, Too often failing to login, Rikærd xcv
2852491721, 2018-07-06T22:46:45.000Z, 1, 0, 0, 2.2.3, Tjaaaa, Hvordan synes i selv det går? Alt for mange drift fejl så man slet ikke kan logge ind🙄 H E L E T I D E N !!, AmarAyad
2852156875, 2018-07-06T21:23:10.000Z, 1, 0, 0, 2.2.3, Appen virker ikk 6/7-18, Appen har ikk virket siden kl 17 og nu er kl 23:23 fredag den 6/7-18.     Mega træls når man skal tjekke sin konto har aldrig oplevet noget lignede, Mille Kromann
2840443390, 2018-07-05T07:06:33.000Z, 2, 0, 0, 2.2.3, Fantastisk, Set bort fra man blir logget af rigtigt mange og må bruge nøgler udover det nødvendige fungerer det okay, frodigheden
2836318738, 2018-07-04T16:11:00.000Z, 5, 0, 0, 2.2.3, Rigtigt godt, Super, per langestrømpe
2830103225, 2018-07-03T20:55:01.000Z, 5, 0, 0, 2.2.3, Meget glad for mobilpay, Fantastisk betalingsform så nemt at handle og stor sikkerhed uden kontooplysninger!, klasse betalingsform
2825938253, 2018-07-03T08:48:14.000Z, 5, 0, 0, 2.2.3, Endelig noget der bare virker ., En fornøjelse .. tak for et godt produkt ., Peter post
2822171241, 2018-07-02T20:07:55.000Z, 1, 0, 0, 2.2.3, Kedelig og mangelfuld bank app, Besværligt (og ikke intuitiv) at skifte navn på konti. Saldoen fremgår ikke når man kigger på posteringer. Udgifter kategoriseres ikke automatisk. Øjensynligt ingen mulighed for at danne overblik. Nordea: check Danske Bank app’en ud 👌🏼, sanne_sanne_
2803975023, 2018-06-30T12:37:11.000Z, 5, 0, 0, 2.2.3, For os tæt på de 80år, En vejledning over de forskellige måder at benytte mobil pay på ( kun de mest brugte ) Feks  betalings ID  hvor skal de forskellig tal stå  71  vælges og så står der 2 talrækker hvad er hvad? Konto  modtager, søskov
2798249938, 2018-06-29T18:53:51.000Z, 1, 0, 0, 2.2.3, Funktioner ok interface 00, Virker ok men interface er ikke intuitivt lysår efter brugervenlighed og design hos fx danskebank. Ærgerligt - for det virker somom det er 100 gange mere besværligt end fx danskebank., Nikolajsaki
2796433470, 2018-06-29T13:13:40.000Z, 1, 0, 0, 2.2.3, Uoverskueligt, Jeg er en ny kunde hos Nordea. Jeg har tidligere haft danske bank men valgte af personlige årsager at skifte til Nordea. Jeg vil sige der er en verden til forskel mellem danske banks app og Nordeas. Danske banks er meget mere overskueligt. Jeg vil anbefale Nordea at tilføje en ny fane med kommende betalinger som man kan trykke på for at se kommende betalinger istedet for at det hele er listet op på en uoverskuelig måde. Det ville også være rart hvis man kunne se det resterende beløb under de forskellige betalinger så man kan se hvor mange penge der er til rådighed når betalingen er udført. Jeg forstå ej heller at man i 2018 skal udskrive en blanket og sende det med posten for at lave en indsigelse, abduli1982
2793466943, 2018-06-29T05:52:50.000Z, 1, 0, 0, 2.2.3, Ikke intuitiv, Hvis man samlinger denne app med danske bank appen er der lysår til forskel danske bank mobil app til netbank er så meget bedre., anders erbs
2773783895, 2018-06-26T12:14:57.000Z, 3, 0, 0, 2.2.3, Mobil bank / pay, Jeg kan ikke modtage beløb 🤯, heino hahn
2771443379, 2018-06-26T05:19:21.000Z, 5, 0, 0, 2.2.3, Talblind, Netbank gør det nemmere for talblinde fordi man altid kan se hvor meget der er tibage på kontoen. Det står jo øverst på min konto. Venlig hilsen Daniella Laubech, bustrupgade 10
2748159259, 2018-06-22T19:14:17.000Z, 1, 0, 0, 2.2.3, Regnemaskinen er 80’er, Alt ved at betale en regning er super 80’er. Look and feel kunne godt bruge en facelift. Regnemaskinen der popper op når man skal indtaste er et godt eksempel på dårlig design. Det er bare i det hele taget en grim app, DanielLose der
2747399406, 2018-06-22T16:35:21.000Z, 4, 0, 0, 2.2.3, Nemt at bruge, Skulle lige vænne mig til at bruge det men syntes det er nemt., camidandersen
2733642432, 2018-06-20T20:03:00.000Z, 3, 0, 0, 2.2.3, Nordea kontra Danske Bank, Hej Har både Nordea og Danske Bank konti. Synes klart at Danske Bank app fungerer bedst - der er for få muligheder i Nordea’s løsning. Vh Jesper, jesperbøje
2731794701, 2018-06-20T14:01:04.000Z, 1, 0, 0, 2.2.3, Meget svær at navigere i i forhold til andre bankapp’s, Gentagende ringe oplevelse med Nordeas app fremfor andre bank app’s. Forsøgt at overføre penge men kan ikke bekræfte og får ingen hjælp til hvad der mangler..., Smølfine69
2719447772, 2018-06-18T17:18:41.000Z, 2, 0, 0, 2.2.3, Ringe info vedr transaktioner, Det ikke muligt at se alle detaljer på en transaktion.. Se nu på Danske Mobile Bank app hvordan de gør - de har forstået brugernes behov og hvad der er væsentligt i en bank app. Der kan man klikke på en transaktion for se detaljerne., AndCer
2711284992, 2018-06-17T10:50:20.000Z, 1, 0, 0, 2.2.3, Alt for tit den ikke virker, Alt for tit kommer meddelsen at mobilbank ikke virker som det skal.  Skal også alt for tit indtaste mit cpr nummer igen og igen. Selvom jeg hver gang siger den skal huske mig. Det sku en ommer Nordea, den fredsomme
2701184118, 2018-06-15T19:46:05.000Z, 1, 0, 0, 2.2.3, For dårligt!, Har ikke før jeg skiftede til Nordea betalt for selv at overføre penge hverken til egne eller andre konti. Det er for grisk., ulla kusk
2676556089, 2018-06-11T12:30:27.000Z, 1, 0, 0, 2.2.3, Uoverskuelig, Jeg synes det er ret så irriterende at man ikke kan se informationen på sine betalinger kun kontonr. Og oversigten er uoverskuelig., bimsebumse
2671501690, 2018-06-10T13:21:03.000Z, 5, 0, 0, 2.2.3, Tilfreds, Super virker godt, Jagjit Parwana
2667678040, 2018-06-09T19:14:12.000Z, 3, 0, 0, 2.2.3, Problemer med login, Når man bare vil tjekke sine kontoer uden og skal på nettet og bruge Nem-Id så er det rart at man kan åbne appen og bruge fingeren til at logge ind med. Men problemet med den her app er at man mange gange får af vide at tjenesten ikke er tilgængelig i øjeblikket. Det er så træls fordi så skal man til og bøvle med at komme på nettet og bruge nem-id.  Håber virkelig det snart blir fikset...., DenAnonymeBruger
2648895482, 2018-06-06T06:39:37.000Z, 2, 0, 0, 2.2.3, Mobilbank, Har svært ved at scanne, Julemand69
2640663209, 2018-06-04T13:04:22.000Z, 3, 0, 0, 2.2.3, Touch virker ikke?, Super ærgerligt men ellers så er det en god oplevelse., Emma Storm
2625475239, 2018-06-01T07:52:16.000Z, 1, 0, 0, 2.2.3, App, Jeres app er rodet og ubrugelig. Jeg er lige skiftet fra Sydbank hvor deres app virker upåklageligt er nem at anvende og man kan ordne alle sine ting fra appen hvor man her skal ind på computeren for at ordne ting. Jeg overvejer sågar at skrifte tilbage til Sydbank alene af den årsdag at jeres hjemmeside og app er så dårlige at finde rundt i!!!!!, biancaborup
2621658938, 2018-05-31T12:54:09.000Z, 5, 0, 0, 2.2.3, Ny kunde, Og utrolig glad for den fine service jeg har fået virkelig god vejledning og rådgivning., Torben Høffding
2620920993, 2018-05-31T09:57:12.000Z, 2, 0, 0, 2.2.3, Ikke særlig elegant på iPad., Ligger ipad’en fladt på bordet skal den vendes om eller rejses op for ikke at få teksten til at stå “på hovedet”. Irriterende!!!, Elegantieren
2620007219, 2018-05-31T05:34:35.000Z, 1, 0, 0, 2.2.3, Teknisk fejl?, Både før og efter seneste opdatering melder app’en om teknisk fejl ved login så jeg ikke kan komme ind og tjekke saldo og betale regninger som ønsket. Burde være en minimumsfunktion man kunne regne med nu man har lært at leve med appens primitivitet f.eks. sammenlignet med tidssvarende apps som Danske Banks!, Oulud
2615040146, 2018-05-30T03:41:28.000Z, 5, 0, 0, 2.2.3, Nem og overskuelig app, Meget intuitiv og hurtig at finde rundt i i betalinger og overførelser istedet for at åbne bærbaren., Brimflow
2613906473, 2018-05-29T21:08:49.000Z, 1, 0, 0, 2.2.3, Tvungen til at anmelde app, Fin nok app men da de tvinger en til at vurdere den ved hele tiden st spørge om man vil vurdere appen gav jeg den én stjerne i protest., -Mikkel-
2606996690, 2018-05-28T09:38:59.000Z, 5, 0, 0, 2.2.3, 😍😍, Elsker app’en men det er træls at man nogle gange ikke kan komme ind og tjekke hvad man har, 😍💁🏼😍
2604454989, 2018-05-27T19:29:58.000Z, 3, 0, 0, 2.2.3, Udemærket, Udemærket app men hvorfor skal man bruge NemID ved betalinger hvorfor er touch ID via finger aftrykket ikke nok til at godkende betalingen. Fortsat meget tit at mail funktionen ikke virker., Snurre-snup
2598355721, 2018-05-26T10:41:46.000Z, 2, 0, 0, 2.2.3, Brugervenlig og design, Kompliceret. Gør det nemmere at navigere rundt i og så please ændr designet. Ser virkelig gammeldags ud., Buskeeee
2595967391, 2018-05-25T22:19:07.000Z, 1, 0, 0, 2.2.3, Dårlig app, Der er plads til så mange forbedringer. Der er ingen mulighed for at tilføje hvad pengene er brugt på. Og dårlig oversig. Mangler PBS info. Andre banker er flere år foran Hvornår sker der noget nyt eller vil i bare tabe market til de andre prøv da lige kigge lidt på de andre apps, Uni86
2594055888, 2018-05-25T12:14:50.000Z, 3, 0, 0, 2.2.2, Gemme konti, Ville være rart at kunne gemme folks reg og konto nummer til næste gang man skal overføre penge til dem. Gemme konto numre som man gemmer mobil nr., Uhihih
2592906446, 2018-05-25T07:02:18.000Z, 5, 0, 0, 2.2.2, Super nemt, Alle funktioner er nemme og hurtige .jeg ville ikke undvære denne app🤗, mr.pandrup
2584351348, 2018-05-23T08:18:08.000Z, 5, 0, 0, 2.2.2, Det er alletiders at kunne overføre her og nu via mobil., Det er alletiders at kunne overføre her og nu via mobil., 251053KI
2584198723, 2018-05-23T07:27:21.000Z, 2, 0, 0, 2.2.2, Mangler saldo, Der mangler en kolonne med saldoen ud for hver postering. Jeg kan ikke bruge netbanken uden denne., MarcelGoldin
2560867969, 2018-05-17T22:47:51.000Z, 1, 0, 0, 2.2.2, Kom igen nordea, Appen lukker ned. Besværlig at bruge. Kræver flittigt brug af nem id. Ikke imponeret men det virker da trods alt. Er mere glad for danske banks app som er hurtig og nem at bruge, lonefg
2560027718, 2018-05-17T17:21:57.000Z, 3, 0, 0, 2.2.2, Savner, Hejsa    Savner muligheder når jeg bruger app'en på IPad.  Hvis man fx skal ind og finde kvitteringer så bliver jeg nødt til at åbne min pc for at kunne finde dem.   Vh Tommy, bullsplaza
2551935098, 2018-05-15T20:35:20.000Z, 5, 0, 0, 2.2.2, Effektivt system, Hurtigt og nemt., iannmit
2551426461, 2018-05-15T17:40:33.000Z, 1, 0, 0, 2.2.2, Dårlig til at lave budget, Andre banker kan trække data fra hvor man handler hvilket gør det væsentligt nemmere at lave et budget., Mr. Donn
2545009492, 2018-05-14T08:52:19.000Z, 5, 0, 0, 2.2.2, Pisse godt, Super kundeservice, patrik mønster
2541344553, 2018-05-13T12:10:31.000Z, 5, 0, 0, 2.2.2, Pålidelig, Det virker bare og gør hverdagen lettere, @@pep@@
2537536009, 2018-05-12T15:07:35.000Z, 2, 0, 0, 2.2.2, Mangler posteringer på konti, Nu har jeg manglet posteringer på mine konti i netbanken i over et halvt år jeg får baren sludder for en slader når jeg har talt med support og i arbejder på sagen. Det er ikke særligt seriøst når det tager så lang tid at få fejlen rettet. Den er IKKE rettet endnu. Med venlig hilsen  JørgenPedersen, IbIbsen
2536915968, 2018-05-12T12:18:16.000Z, 1, 0, 0, 2.2.2, ., Jeg er træt af man næsten aldrig kan komme end på den der er altid noget galt med det lort, Nordea17
2531273665, 2018-05-11T07:15:21.000Z, 3, 0, 0, 2.2.2, OK bank app men mangler en del funktioner fra Danske’s app, Appen er ok men mangler en del funktioner som jeg havde vænnet mig til i danske B’s app. Så som detaljer på alle gamle betalinger når man trykker på dem. Afstemning af konto i grupper osv., Per Beyer
2530754707, 2018-05-11T04:11:34.000Z, 3, 0, 0, 2.2.2, Usability, Looking objectively and honestly 3 stars is just like an app itself - it’s okay. Missing a lot of useful features for example international transfers? Maybe consider it? Right now it’s just usable to check your account status that’s it., Aderal94
2528491020, 2018-05-10T14:46:34.000Z, 4, 0, 0, 2.2.2, Netbank, Det er nemt at betjene  bruger det meget 👍, Brigcit
2522818872, 2018-05-09T06:55:54.000Z, 5, 0, 0, 2.2.2, Fungerer bare, Ikke så meget pjat - den fungerer bare for mig. 😃, 007Dunk
2519414760, 2018-05-08T09:37:31.000Z, 5, 0, 0, 2.2.2, Nemt !!!, Super nem at bruge mobil bank 😊, Tove kasmayr
2496653710, 2018-05-02T17:33:55.000Z, 2, 0, 0, 2.2.2, Forslag til at make Nordea netbank great again, Jeg syntes det ville være rart hvis man kunne se saltoen tilbage i tiden. Nu kan man kun se saltoen nu og betalinger. Hvis man har mange betalinger bliver det svært at overskue hvor meget ens konti vokser (hvis man er så heldig). Derudover er aktievisningen uhensigtsmæssig. Feks så vises det der er udbetalt som afkast som et minus sammen med visning af afkast. Hvis man har fået 1000 i afkast og aktien er steget 1000 kr er overskuddet vist som 0. Det giver jo ikke mening!, OJ Hamming
2495119747, 2018-05-02T09:30:58.000Z, 5, 0, 0, 2.2.2, Alt hvad jeg har brug for, Mobilbank er alt hvad jeg har brug for nemt og altid ved hånden Mvh Erich K Pedersen, Erich P Ødis
2494788947, 2018-05-02T07:12:20.000Z, 5, 0, 0, 2.2.2, Mobilbank, Let hurtig og lige ved hånden, inge Holm
2493004517, 2018-05-01T18:46:00.000Z, 1, 0, 0, 2.2.2, Irriterende, Det er irriterende at man skal fiske sit nem id kort op hvergang man skal flytte et mindre beløb., Redrum no. 1
2490760563, 2018-05-01T06:28:36.000Z, 3, 0, 0, 2.2.2, Manglende overblik, Der mangler sum og overblik.  Er lige skifter til Nordea men app er ikke så god og overskuelig når man fx skal undersøge indgået betalinger., Lars Vestergasrd
2490551921, 2018-05-01T05:10:40.000Z, 2, 0, 0, 2.2.2, Touch ID virker ikke, Nu har der i 2 måneder stået teknisk fejl når jeg skal logge ind Touch ID. Det har virket før. Det virker på alle andre apps ned touch ID. Hvornår får i det fixet?, Drlynge
2490331314, 2018-05-01T03:50:46.000Z, 1, 0, 0, 2.2.2, PBS-oversigt i APP, Savner at man kan få adgang til PBS-oversigterne i APP. Når man logger på nordea.dk bliver man logget ud af systemet når man går tilbage fra en PBS-oversigt for at se flere - ihvertfald fra en iPad., LH3500
2487122221, 2018-04-30T10:20:08.000Z, 3, 0, 0, 2.2.2, Anmeldelse af mobilbank, Synes aldrig den har været særlig brugervenlig/oplysende hvad der er hvad - har haft andre mobilbanker som var bedre end jeres!, Lin-sof
2475283920, 2018-04-27T16:34:25.000Z, 4, 0, 0, 2.2.2, Kan stadig gøres bedre, Lidt besværligt at man efter at have logget ind først med touch og derefter med nem-ID så skal man bruge nem-ID igen for at overføre penge til andre. Det er overdreven sikkerhed., Leneleth
2466817713, 2018-04-25T16:14:23.000Z, 5, 0, 0, 2.2.2, Ny version, Two Thumbs Up 😀  IPhone X support . YES  Det kører bare  tak, Believing73
2466117581, 2018-04-25T12:56:31.000Z, 5, 0, 0, 2.2.2, Effektivt  og sikker, Altid effektiv og sikker, hans henning scødts
2462663558, 2018-04-24T16:28:58.000Z, 3, 0, 0, 2.2.2, For ustabil, Igen bliver jeg afvist ved login. Det sker for ofte. Og hjemmesiden kan jeg heller ikke logge på., mvoeler
